2026-04-24 19:40:34,725 [INFO] Detection started. Press 'q' to quit.
2026-04-24 19:40:46,558 [INFO] Frame 00273 | Face @ (253,257) size=207x207 | Eyes detected: 0
2026-04-24 19:40:46,592 [INFO] Frame 00274 | Face @ (254,259) size=205x205 | Eyes detected: 0
2026-04-24 19:40:46,649 [INFO] Frame 00275 | Face @ (252,259) size=207x207 | Eyes detected: 0
2026-04-24 19:40:46,692 [INFO] Frame 00276 | Face @ (252,259) size=207x207 | Eyes detected: 0
2026-04-24 19:40:46,728 [INFO] Frame 00277 | Face @ (252,258) size=206x206 | Eyes detected: 0
2026-04-24 19:40:46,770 [INFO] Frame 00278 | Face @ (252,258) size=206x206 | Eyes detected: 0
2026-04-24 19:40:46,807 [INFO] Frame 00279 | Face @ (249,255) size=209x209 | Eyes detected: 0
2026-04-24 19:40:46,842 [INFO] Frame 00280 | Face @ (249,255) size=209x209 | Eyes detected: 0
2026-04-24 19:40:46,892 [INFO] Frame 00281 | Face @ (249,255) size=208x208 | Eyes detected: 0
2026-04-24 19:40:46,905 [INFO] Frame 00282 | Face @ (249,255) size=208x208 | Eyes detected: 0
2026-04-24 19:40:46,940 [INFO] Frame 00283 | Face @ (246,255) size=209x209 | Eyes detected: 0
2026-04-24 19:40:46,982 [INFO] Frame 00284 | Face @ (242,256) size=211x211 | Eyes detected: 0
2026-04-24 19:40:47,016 [INFO] Frame 00285 | Face @ (242,256) size=211x211 | Eyes detected: 0
2026-04-24 19:40:47,040 [INFO] Frame 00286 | Face @ (242,256) size=211x211 | Eyes detected: 0
2026-04-24 19:40:47,092 [INFO] Frame 00287 | Face @ (240,255) size=213x213 | Eyes detected: 0
2026-04-24 19:40:47,141 [INFO] Frame 00288 | Face @ (240,255) size=213x213 | Eyes detected: 0
2026-04-24 19:40:47,183 [INFO] Frame 00289 | Face @ (235,259) size=211x211 | Eyes detected: 0
2026-04-24 19:40:47,239 [INFO] Frame 00290 | Face @ (233,259) size=213x213 | Eyes detected: 0
2026-04-24 19:40:47,299 [INFO] Frame 00291 | Face @ (233,259) size=213x213 | Eyes detected: 0
2026-04-24 19:40:47,365 [INFO] Frame 00292 | Face @ (232,260) size=212x212 | Eyes detected: 0
2026-04-24 19:40:47,399 [INFO] Frame 00293 | Face @ (231,263) size=208x208 | Eyes detected: 0
2026-04-24 19:40:47,433 [INFO] Frame 00294 | Face @ (231,263) size=208x208 | Eyes detected: 0
